name,scenario,actors,preconditions,steps,result
Secure and Swift Verification using Facial Recognition,The facial recognition system verifies individuals swiftly and securely.,Facial Recognition System,System is available for verification purposes.,"1: Individual presents themselves before the facial recognition device for verification. 2: Facial recognition system swiftly captures and processes the facial features. 3: System compares the features with the stored biometric data of the individual. 4: If the features match within the defined threshold, the system securely verifies the individual.",True
Automated Offer Letter Generation (Automated Salary Hike Handling Software),HR initiates the process of generating offer letters for the salary hike cycle.,['HR'],HR has received and validated the results shared from the managers for the salary hike cycle.,"1: HR triggers the bot to generate offer letters for the salary hike. 2: The bot accepts the results shared from the managers. 3: The bot checks all pre-defined validations, such as years of experience, allowed percentage hike, and any missed employees for appraisal. 4: The bot creates action tickets for HR to follow up on highlighted cases and requests responses from the managers. 5: All evidence and communication are stored in the bot's system. 6: The bot processes the generation of offer letters in a multi-architecture-based approach to ensure completion within a day.",False
Employee Detail Update using Automated Salary Hike Handling Software,Updating employee details and mailing all candidates about the salary hike.,HR,Offer letters for the salary hike cycle have been generated.,1: HR initiates the update of employee details in the system with the new salary and designation. 2: HR triggers the bot to send out emails to all the candidates about the salary hike process. 3: The bot updates the employee details in the system with the new salary and designation. 4: The bot sends out emails to all the candidates about the salary hike.,False
Validation Checks in Automated Salary Hike Handling Software,The bot performs validation checks on the salary hike parameters and employee details.,['Bot'],Results for the salary hike cycle are shared by the managers.,"1: The bot checks all the validation rules set for the salary hike process, including years of experience, allowed percentage hike, and any missed employees for appraisal. 2: The bot highlights cases that do not meet the pre-defined validations and creates action tickets for HR to follow up. 3: The bot requests responses from the managers for the highlighted cases. 4: All evidence and communication related to the validation checks are stored in the bot's system.",False
Multi-Architecture Processing in Automated Salary Hike Handling Software,The bot initiates multi-architecture processing for completing the salary hike process.,Bot,All required validations and employee details are updated and verified.,1: The bot starts the multi-architecture based processing to ensure completion of the salary hike process within a day's time.,True
Collect Resumes,Human resources collect resumes from various sources.,['Human Resources'],There should be a source of resumes available for collection.,"1: Human Resources access various sources such as job portals, career fairs, and online submissions to collect resumes. 2: Resumes are gathered and stored in the company's database or a designated location.",False
Determine Candidates from a list of resumes,The system determines potential candidates from a set of resumes collected from several job portals.,['System'],Resumes must be available in the company's database or designated location.,1: The system uses OCR (Optical Character Recognition) and UiPath to extract relevant information from the resumes. 2: ChatGPT is employed to analyze the extracted information and identify potential candidates based on predefined criteria. 3: The system utilizes Amazon Web Services to assist in processing and analyzing the candidate data. 4: A list of potential candidates is generated based on the analysis and presented to the human resources team for review.,False
Improve Hiring Process of Company,The company implements an assistant software to enhance the hiring process.,['Company'],The assistant software must be developed and integrated into the hiring process.,"1: The company utilizes UiPath, OCR, ChatGPT, and Amazon Web Services to create an assistant software. 2: The assistant software streamlines the hiring process by automating repetitive tasks such as resume parsing, candidate evaluation, and initial communications. 3: The software assists in scheduling interviews, sending automated updates to candidates, and maintaining candidate engagement throughout the hiring process. 4: Human resources team leverages the assistant software to efficiently manage the workflow and improve overall hiring effectiveness.",True
Negotiation Facilitation in Online Second-hand Car-Buying System,User negotiates the price of a vehicle through the Trusted Wheels application.,"['User', 'Seller']",User must be logged in and have selected a vehicle of interest.,1: User selects a vehicle for purchase 2: User initiates negotiation for the price of the vehicle 3: The system facilitates the negotiation process by providing a platform for communication between the user and the seller 4: Seller responds with a counteroffer or acceptance of the user's proposal 5: User and seller reach an agreement on the price,False
Document Verification in Online Second-hand Car-Buying System,User validates all documents related to the purchased vehicle using the Trusted Wheels application.,['User'],User must have purchased a vehicle after negotiating with the seller through the Trusted Wheels application.,"1: User navigates to the purchased vehicle's profile 2: User accesses the documents section 3: The system displays the list of documents associated with the vehicle, including invoices, warranty, and claims 4: User verifies the authenticity of each document",False
Secure Payment in Online Second-hand Car-Buying System,User makes a payment for a vehicle through the Trusted Wheels application.,"['User', 'Payment Gateway']",User must have agreed to purchase a vehicle and be ready to make the payment.,1: User selects the payment option 2: User enters the payment details 3: The system redirects the user to a secure payment gateway 4: User completes the payment using a secure channel 5: Payment gateway confirms the transaction,False
Vehicle Condition Validation in Online Second-hand Car-Buying System,User validates the condition of a vehicle using the Trusted Wheels application.,['User'],User must have selected a vehicle for potential purchase.,1: User accesses the vehicle's profile 2: The system utilizes AI Object Detection to present an analysis of the vehicle's condition 3: User examines the AI analysis to understand the vehicle's condition 4: User makes an informed decision based on the analysis,False
Transparency in Trade in Online Second-hand Car-Buying System,User engages in a trade for a vehicle through the Trusted Wheels application.,"['User', 'Seller']",User must have agreed to purchase a vehicle and be ready to engage in the trade.,"1: User and seller agree on the terms of the trade 2: The system facilitates the trade process, ensuring transparency in the transaction 3: User and seller complete the trade as agreed 4: The system updates the status of the transaction",True
Download Source Files,"Downloading source files from multiple locations like shared location, email, etc. of predetermined types",['System'],Availability of source files in the specified locations,1: System accesses the shared location and downloads the source files 2: System retrieves source files from emails and downloads them 3: System verifies the integrity of the downloaded files,False
Data Cleaning and Filtering for Automated Invoice Generation,Cleaning the supplied/downloaded data and filtering rows based on predefined conditions to exclude rows that are not to be billed,['System'],Availability of downloaded source files,1: System cleans the data from the downloaded files 2: System applies predefined conditions to filter out rows that are not to be billed 3: System creates an intermediate file with the filtered data,False
Calculate Quantity and Amount for Billing from a List of Filterd Billing Files/Sheets,Calculating Quantity and Amount based on given charge rate from the intermediate files (after preprocessing initial files based on preconditions),['System'],Availability of the intermediate file with filtered data,1: System retrieves the filtered data from the intermediate file 2: System calculates the Quantity and Amount based on the provided charge rates 3: System records the calculated Quantity and Amount for each entity,False
Create Invoices from Source Files Containing Quantity and Amount,Creating invoices for each entity in the source file and inserting data into pre-defined invoice templates,['System'],Availability of calculated Quantity and Amount for each entity,1: System generates individual invoices for each entity using pre-defined templates 2: System inserts the calculated Quantity and Amount data into the respective invoice templates 3: System validates the created invoices,False
Upload Automatically Generated Invoices to Database,Uploading the created invoices into the database using excel add-ins and generating a transaction number,['System'],Availability of validated invoices,1: System utilizes excel add-ins to upload the invoices to the database 2: System ensures the successful upload of the invoices 3: System generates a unique transaction number for each uploaded invoice,False
Send Summary File to the Department,Sending a summary file containing details of the submitted invoices to the department,['System'],Completion of the entire invoicing process,1: System compiles a summary file with details of the submitted invoices 2: System sends the summary file to the respective department for reconciliation,True
Automated Email Monitoring,The system monitors finance emails for vendor bills and validates them using Document Understanding and AI Centre.,['Bot'],The system has access to the finance emails and the Document Understanding and AI Centre.,"1: The bot checks all the emails received for vendor bills. 2: Whitelisted vendors' bills are processed automatically, while other bills are moved to the action center for processing. 3: In the action center, the end user can choose to pay the bill or neglect it based on their understanding of the situation. 4: If the bot notices a spike in expense from a whitelisted vendor, it moves the expense to the action center for further review.",False
Expense Tracking and Monitoring in a Monthly Payment Automation System,The system uses historical expense data to track and monitor the expenses incurred by the company.,['Bot'],The system has access to historical expense data and is integrated with the finance dashboard.,1: The bot utilizes historical expense data to track and monitor the expenses incurred by the company during the financial years. 2: The data is stored in a database and made visible on a dashboard for the finance team for real-time monitoring. 3: Real-time monitoring allows the finance team to minutely watch the expenses and avoid late payments.,False
Monthly Bill Payment Processing in a Monthly Payment Automation System,The system processes the monthly bills received from vendors to avoid late fee fines.,"['Bot', 'End User']",The system has access to the received monthly bills and is integrated with the payment processing capabilities.,"1: The bot processes the bills received from vendors to ensure timely payments. 2: Whitelisted vendors' bills are processed automatically, while others are moved to the action center for processing by the end user. 3: The end user in the action center can pay the bill or neglect it based on their understanding. 4: If any spike in expense from a whitelisted vendor is noticed, the bot moves the expense to the action center for further review.",True
Integration with Billing System for Automated Retail Inventory Manager System,Integration of the UiPath inventory manager bot with the shop's billing system to trigger the bot in orchestrator upon completion of a billing transaction at the counter.,"['UiPath Inventory Manager Bot', 'Billing System']",The shop uses a specific billing system that can be integrated with the UiPath inventory manager bot.,"1: The billing system completes a transaction at the counter. 2: Upon transaction completion, the billing system triggers the UiPath inventory manager bot in orchestrator.",False
Maintain Centralized Product Repository for an Automated Retail Inventory Manager System with Help from UiPath Inventory Manager Bot,Maintenance of a centralized repository containing the count for all products in the retail shop.,['UiPath Inventory Manager Bot'],A centralized repository system exists to store the count for all the products in the retail shop.,1: The UiPath inventory manager bot updates the count of items in the centralized repository. 2: The repository is regularly synchronized with the actual inventory count in the shop.,False
Automated Purchase Order Placement in an Automated Retail Inventory Manager System,Automatic placement of a purchase order for a specific item when its count in the repository reaches a pre-defined threshold value.,"['UiPath Inventory Manager Bot', 'Vendor']",The UiPath inventory manager bot has access to vendor information and can place automated purchase orders.,"1: The UiPath inventory manager bot monitors the item counts in the repository. 2: When the count of a specific item reaches the pre-defined threshold value, the bot automatically places a purchase order for that item with the specific vendor.",True
CCTV Footage Analysis,The system detects and analyzes accidents in real-time using CCTV footage.,['System'],CCTV footage of the area is available and accessible to the system.,"1: The system continuously monitors the CCTV footage for any signs of accidents. 2: Upon identifying a potential accident, the system captures relevant footage for analysis. 3: The system employs computer vision and image processing algorithms, utilizing AI models for efficient accident detection.",False
Location Mapping,The system integrates with the CCTV database to retrieve the precise location of the accident for accurate reporting and response.,['System'],The system has access to the CCTV database and coordinates of accident locations.,1: The system retrieves the geographic coordinates of the accident from the CCTV database. 2: The system utilizes the obtained coordinates for accurate reporting and emergency response purposes.,False
Automated Reporting,"The system automatically generates detailed accident reports, including relevant data, for aiding the investigation.",['System'],The system has detected and confirmed an accident through CCTV footage analysis.,"1: The system compiles relevant data such as date, time, and location of the accident. 2: The system generates a detailed accident report based on the compiled data.",False
Automated Calls,The system triggers automated calls to local authorities for real-time alerts and emergency response.,['System'],"The system has detected and confirmed an accident, and the required data for alerting authorities is available.",1: The system initiates automated calls to the designated local police stations or emergency services. 2: The system delivers real-time alerts with relevant accident details to the authorities.,False
Fax Notification,The system integrates with fax services to send detailed accident reports and images to designated police stations for quick response and dispatch of emergency services.,['System'],The system has generated a detailed accident report and captured relevant images.,1: The system sends the comprehensive accident report and images to the designated police stations via fax services. 2: The system ensures that map coordinates are included in the report for quick response and dispatch of emergency services.,True
Train ML Model,Training the machine learning model with different existing datasets from hospitals and other sources.,['AI System'],Availability of diverse datasets for training the ML model.,1: Collecting diverse lab report datasets from hospitals and other sources. 2: Preprocessing and cleaning the collected datasets. 3: Training the machine learning model using the preprocessed datasets.,False
Predict Disease Likelihood,Using the trained ML model to predict the likelihood of chronic diseases for a patient based on their lab report data and lifestyle information.,['AI System'],Availability of the patient's lab report data and lifestyle information.,1: Receiving the lab report data and lifestyle information of the patient. 2: Pushing the data to the ML model to predict the likelihood of chronic diseases. 3: Comparing the results with lifestyle data and making the prediction.,False
Send Report for Doctor Validation,Sending the lab report data to the doctor for validation in case of any alarming prediction.,"['AI System', 'Doctor']",Detection of an alarming prediction from the ML model.,1: Sending the report data to the doctor via an automated email for validation. 2: Doctor accessing the UiPath App to approve or disapprove the reading. 3: Doctor's input sent to the ML model for refining future predictions.,False
Inform Patient about Susceptibility,Informing the patient immediately if the doctor confirms their susceptibility to a chronic disease based on the AI prediction.,"['AI System', 'Doctor', 'Patient']",Confirmation from the doctor regarding the patient's susceptibility to a chronic disease.,1: Sending an immediate notification to the patient about their susceptibility to a chronic disease. 2: Providing the patient with information to take corrective actions as soon as possible.,True
Accessing Crop Recommendation System,A user accesses the Crop Recommendation system to get suggestions for suitable crops to grow based on soil and environmental parameters.,['User'],"User has access to the Crop Recommendation system and has the required soil and environmental parameter values (N, P, K, temperature, humidity, pH, rainfall) available.","1: User navigates to the Predict section of the UiPath Apps 2: User enters the corresponding nutrient values of the soil, i.e., N, P, K ratios 3: User enters the temperature in degrees Celsius, relative humidity in percentage, pH value of the soil, and the rainfall in mm 4: The system processes the entered values 5: The Crop Recommender system suggests the type of crop/fruit to grow in order to increase production based on the entered parameters",False
Updating Soil and Environmental Parameter Values,A user updates the soil and environmental parameter values to get updated recommendations for suitable crops to grow.,['User'],User has accessed the Crop Recommendation system and has previously entered the soil and environmental parameter values.,"1: User navigates to the section for updating soil and environmental parameter values in the Crop Recommendation system 2: User modifies the existing values of N, P, K ratios, temperature, humidity, pH, and rainfall 3: User submits the updated values 4: The system processes the updated values 5: The Crop Recommender system provides new crop recommendations based on the modified parameters",False
Viewing Recommended Crops,A user views the list of recommended crops/fruits generated by the Crop Recommendation system based on the entered soil and environmental parameters.,['User'],User has entered the soil and environmental parameter values and has accessed the Crop Recommendation system.,1: User navigates to the section for viewing recommended crops/fruits in the Crop Recommendation system 2: The system displays the list of recommended crops/fruits along with relevant details such as expected yield or suitability for the specified conditions,True
Data Collection,UiPath robots collect sales data from various sources for demand forecasting.,UiPath robots,UiPath robots are operational and have access to the required data sources.,"1: UiPath robots initiate data collection from POS systems, e-commerce platforms, and social media. 2: Data collection process captures historical sales data and relevant factors. 3: Collected data is stored in a designated repository for further processing.",False
Data Preprocessing,Preprocessing of collected sales data to prepare it for demand forecasting model development.,UiPath Studio,Collected sales data is available and accessible to UiPath Studio.,1: UiPath Studio performs data cleaning to handle missing or inconsistent data. 2: Normalization of data and feature engineering is carried out using UiPath Studio's data manipulation activities. 3: Preprocessed data is stored for model development.,False
Model Development,Utilizing UiPath AI Center to build and train a demand forecasting model using machine learning algorithms.,UiPath AI Center,Preprocessed sales data is available within UiPath AI Center for model development.,"1: Selection of appropriate machine learning algorithms, such as regression, time series analysis, or deep learning, for model development. 2: Training the demand forecasting model using historical sales data and relevant factors. 3: Validation of the model's performance and accuracy for demand forecasting.",False
Model Deployment,Deployment of the trained demand forecasting model to UiPath AI Center for integration with automation processes.,UiPath AI Center,Trained demand forecasting model is available and validated for deployment.,1: Integration of the trained model with automation processes within UiPath AI Center. 2: Testing the integrated model's functionality and compatibility with other automated tasks. 3: Deployment of the model for real-time demand forecasting and inventory management.,False
UiPath Apps Activation,Activation of UiPath Apps for stock managers to monitor and manage stock levels.,"Stock Managers, UiPath Apps",UiPath Apps are installed and accessible to stock managers.,1: Stock managers access the UiPath Apps dashboard for real-time stock monitoring. 2: The dashboard displays a list of best-selling products at risk of going out of stock. 3: Stock managers initiate orders by clicking on 'place the order' triggering automated order placement by UiPath robots.,True
Input Channel Registration,A new input channel is registered in the system.,Admin,The admin has the necessary permissions to register new input channels.,"1: Admin navigates to the input channel registration page 2: Admin fills in the details of the new input channel (e.g., channel name, description, contact information) 3: Admin submits the registration form 4: The system validates the provided details 5: The system registers the new input channel",False
Input Classification,An input is classified into predefined categories using AI.,AI Engine,The input is available in the system and the AI engine is active.,"1: AI Engine receives the input 2: AI Engine processes the input using predefined classification algorithms 3: The system verifies the classification results 4: The system assigns the input to the respective category (e.g., customer complaints, service requests, information requests)",False
Peak Detection,The system detects peaks in the incoming inputs,System,There are incoming inputs and the peak detection module is active.,"1: The system continuously monitors the volume of incoming inputs 2: The system compares the current input volume with historical data to identify peaks 3: When a peak is detected, the system triggers an alert or notification for the relevant personnel",False
Priority Setting for Employee Base,The system assigns priorities to the employee base based on input classification and peak detection.,System,Inputs are classified and peaks are detected.,1: The system evaluates the nature of classified inputs and the detected peaks 2: The system assigns priorities to different departments or personnel based on the evaluation 3: The priorities are communicated to the respective departments or personnel,True
Download Purchase Orders,The system automatically downloads purchase orders from email attachments.,['System'],Email containing purchase orders is received and accessible by the system. Purchase orders are named using a code as PO_xxx in the attchment,1: System accesses the email server to retrieve new emails with purchase order attachments 2: System downloads the purchase order attachments from the received emails,False
Extract PO Details and train PO ML Model,The system extracts purchase order details through Document understanding and training the PO ML model.,['System'],Purchase orders are successfully downloaded and accessible by the system.,1: System processes the purchase orders using Document understanding phases 2: System trains the PO ML model to extract relevant details from the purchase orders,False
Validate PO Details,"The system detects any accuracy or business validation issues and creates a task in the action center for business validation, modification, and submission.","['System', 'Business Users']",Purchase order details are extracted and processed by the system.,"1: System checks for accuracy and business validation issues in the extracted PO details 2: If issues are found, system creates a task in the action center for business users to validate, modify, and submit the details",False
Create Order in SAP,The system creates the purchase order in the SAP application to notify the respective stakeholders and initiate necessary actions.,"['System', 'SAP Application']",PO details are validated and finalized by the business users.,1: System initiates the creation of the purchase order in the SAP application 2: SAP application processes the received order and notifies the respective stakeholders for further actions,True
Upload Image from CCTV Camera,CCTV cameras detect motion and take screenshots in the coverage area.,"CCTV System, Motion Detection Software",Motion is detected within the camera's coverage area,1: CCTV system detects motion in the coverage area 2: The camera takes a screenshot when motion is detected 3: The image is saved in a specified OneDrive location,False
Trigger UiPath Bot,"An image is uploaded to the specified OneDrive location, triggering the UiPath bot integration","OneDrive, UiPath Integration Service",Image is uploaded to the specified OneDrive location,1: An image is uploaded to the specified OneDrive location 2: UiPath Integration Service detects the new image 3: UiPath bot is triggered upon detection of the new image,False
Move Image to Local Storage,UiPath bot moves the image from OneDrive to local storage for processing,"UiPath Bot, Local Storage System","UiPath bot is triggered, and an image is available in the specified OneDrive location",1: UiPath bot identifies the new image in the specified OneDrive location 2: The bot initiates the process to move the image to the local storage for further analysis,False
Process Image Using Object Detection Model,UiPath Object Detection Model AI Centre processes the image from the local storage,"UiPath Object Detection Model AI Centre, Local Storage System",The image is successfully moved to the local storage,1: UiPath Object Detection Model AI Centre receives the image from the local storage 2: The AI model processes the image to identify objects and patterns,False
Alert Generation for Mask Detection,"The system detects whether a person is wearing a mask, and if not, triggers an alert",UiPath Object Detection Model AI Centre,"The image has been successfully processed, and the AI model has detected a person's face","1: The AI model analyzes the image to determine if a person is not wearing a mask 2: If no mask is detected, the system triggers an alert for mask non-compliance",False
Alert Generation for Person Count Threshold,The system triggers alerts if the number of persons detected in the image exceeds the predefined threshold,UiPath Object Detection Model AI Centre,"The image has been successfully processed, and the AI model has detected persons","1: The AI model determines the number of persons in the image 2: If the person count exceeds the predefined threshold, the system triggers an alert for overcrowding",False
Prevention of Suicides and Intrusions,The system is able to prevent suicides and intrusion cases based on image analysis,UiPath Object Detection Model AI Centre,"The image has been successfully processed, and the AI model has detected relevant patterns","1: The AI model analyzes the image to detect patterns associated with suicides or intrusions 2: If such patterns are detected, the system takes preventive actions or triggers appropriate alerts",True
Capture Handwritten Feedback,Automated capturing of handwritten feedback from customers at the automobile service center.,"['System', 'Customer']",Customer provides handwritten feedback on paper or a form,1: System processes the handwritten feedback using image recognition technology 2: System converts the handwritten feedback into digital text 3: System stores the digital feedback for further processing,False
